Package,LibPath,Version,Priority,Built
proto,C:/Users/ds93656/Documents/R/win-library/3.3,1.0.0,NA,3.3.3
psych,C:/Users/ds93656/Documents/R/win-library/3.3,1.8.4,NA,3.3.3
purrr,C:/Users/ds93656/Documents/R/win-library/3.3,0.2.4,NA,3.3.3
R6,C:/Users/ds93656/Documents/R/win-library/3.3,2.2.2,NA,3.3.3
RColorBrewer,C:/Users/ds93656/Documents/R/win-library/3.3,1.1-2,NA,3.3.2
Rcpp,C:/Users/ds93656/Documents/R/win-library/3.3,0.12.16,NA,3.3.3
RDCOMClient,C:/Users/ds93656/Documents/R/win-library/3.3,0.93-0.2,NA,3.1.2
readr,C:/Users/ds93656/Documents/R/win-library/3.3,1.1.1,NA,3.3.3
readxl,C:/Users/ds93656/Documents/R/win-library/3.3,1.1.0,NA,3.3.3
rematch,C:/Users/ds93656/Documents/R/win-library/3.3,1.0.1,NA,3.3.3
reprex,C:/Users/ds93656/Documents/R/win-library/3.3,0.1.2,NA,3.3.3
reshape2,C:/Users/ds93656/Documents/R/win-library/3.3,1.4.3,NA,3.3.3
rlang,C:/Users/ds93656/Documents/R/win-library/3.3,0.2.0,NA,3.3.3
rmarkdown,C:/Users/ds93656/Documents/R/win-library/3.3,1.9,NA,3.3.3
RODBC,C:/Users/ds93656/Documents/R/win-library/3.3,1.3-15,NA,3.3.3
rprojroot,C:/Users/ds93656/Documents/R/win-library/3.3,1.3-2,NA,3.3.3
RSQLite,C:/Users/ds93656/Documents/R/win-library/3.3,2.1.0,NA,3.3.3
rstudioapi,C:/Users/ds93656/Documents/R/win-library/3.3,0.7,NA,3.3.3
rvest,C:/Users/ds93656/Documents/R/win-library/3.3,0.3.2,NA,3.3.3
scales,C:/Users/ds93656/Documents/R/win-library/3.3,0.5.0,NA,3.3.3
selectr,C:/Users/ds93656/Documents/R/win-library/3.3,0.4-1,NA,3.3.3
shiny,C:/Users/ds93656/Documents/R/win-library/3.3,1.0.5,NA,3.3.3
shinydashboard,C:/Users/ds93656/Documents/R/win-library/3.3,0.7.1,NA,3.3.3
shinyWidgets,C:/Users/ds93656/Documents/R/win-library/3.3,0.4.4,NA,3.3.3
snakecase,C:/Users/ds93656/Documents/R/win-library/3.3,0.9.2,NA,3.3.3
snow,C:/Users/ds93656/Documents/R/win-library/3.3,0.4-2,NA,3.3.2
sourcetools,C:/Users/ds93656/Documents/R/win-library/3.3,0.1.6,NA,3.3.3
sqldf,C:/Users/ds93656/Documents/R/win-library/3.3,0.4-11,NA,3.3.3
stringi,C:/Users/ds93656/Documents/R/win-library/3.3,1.1.7,NA,3.3.3
stringr,C:/Users/ds93656/Documents/R/win-library/3.3,1.3.1,NA,3.3.3
survival,C:/Users/ds93656/Documents/R/win-library/3.3,2.42-3,recommended,3.3.3
survminer,C:/Users/ds93656/Documents/R/win-library/3.3,0.4.3,NA,3.3.3
survMisc,C:/Users/ds93656/Documents/R/win-library/3.3,0.5.5,NA,3.3.3
testthat,C:/Users/ds93656/Documents/R/win-library/3.3,2.0.0,NA,3.3.3
tibble,C:/Users/ds93656/Documents/R/win-library/3.3,1.4.2,NA,3.3.3
tidyr,C:/Users/ds93656/Documents/R/win-library/3.3,0.8.0,NA,3.3.3
tidyselect,C:/Users/ds93656/Documents/R/win-library/3.3,0.2.4,NA,3.3.3
tidyverse,C:/Users/ds93656/Documents/R/win-library/3.3,1.2.1,NA,3.3.3
usethis,C:/Users/ds93656/Documents/R/win-library/3.3,1.4.0,NA,3.3.3
utf8,C:/Users/ds93656/Documents/R/win-library/3.3,1.1.3,NA,3.3.3
viridis,C:/Users/ds93656/Documents/R/win-library/3.3,0.5.1,NA,3.3.3
viridisLite,C:/Users/ds93656/Documents/R/win-library/3.3,0.3.0,NA,3.3.3
whisker,C:/Users/ds93656/Documents/R/win-library/3.3,0.3-2,NA,3.3.3
withr,C:/Users/ds93656/Documents/R/win-library/3.3,2.1.2,NA,3.3.3
